ID	BP
1783	41.0
2624	27.0
218	30.0
687	22.0
2483	9.0
200	23.0
1403	39.0
1900	26.0
1964	31.0
187	12.0
642	20.0
1203	21.0
560	14.0
832	27.0
374	22.0
296	20.0
769	3.0
2243	27.0
183	21.0
576	13.0
2915	33.0
2294	38.0
1899	10.0
94	5.0
1622	24.0
287	3.0
1896	26.0
1827	16.0
2981	18.0
805	20.0
703	16.0
1057	27.0
707	46.0
139	15.0
2848	57.0
131	n937287
1648	32.0
757	12.0
2368	40.0
2938	62.0
106	n179874
6	n7933721
608	4.0
1009	1.0
2271	21.0
2576	58.0
2389	39.0
1199	1.0
808	14.0
195	0.0
2482	22.0
1421	27.0
851	22.0
1668	8.0
2458	16.0
636	11.0
1018	26.0
2635	17.0
752	44.0
588	71.0
2016	3.0
927	32.0
1409	19.0
1147	20.0
315	30.0
2618	29.0
613	5.0
2267	12.0
2623	13.0
853	10.0
2453	49.0
726	2.0
1550	100.0
2692	13.0
2277	16.0
163	21.0
1806	14.0
2445	8.0
1852	14.0
14	47.0
2379	41.0
1375	15.0
1626	51.0
1836	8.0
485	26.0
1990	23.0
2758	0.0
3085	100.0
522	9.0
2174	3.0
1181	19.0
1694	79.0
2494	7.0
62	16.0
442	2.0
1035	25.0
2399	39.0
479	17.0
1236	19.0
100	37.0
968	22.0
2578	73.0
3032	7.0
1815	20.0
2106	66.0
2547	54.0
601	67.0
897	15.0
340	26.0
2300	12.0
1627	55.0
532	30.0
156	25.0
987	35.0
2136	66.0
2440	25.0
1228	36.0
2175	21.0
1582	14.0
2103	24.0
2554	28.0
1844	14.0
1390	3.0
676	31.0
2139	14.0
1091	41.0
1793	8.0
1967	19.0
2932	13.0
2479	10.0
116	9.0
2584	22.0
1010	7.0
1909	32.0
1292	7.0
1875	22.0
1499	12.0
2150	10.0
18	5.0
2477	23.0
3070	29.0
2917	20.0
1901	7.0
2774	41.0
2797	37.0
2486	4.0
1005	31.0
2307	11.0
970	56.0
2530	47.0
291	19.0
2987	3.0
314	23.0
1281	48.0
377	0.0
252	17.0
666	n7808619
2529	85.0
755	16.0
702	4.0
1731	19.0
837	3.0
2395	35.0
1225	15.0
267	34.0
225	100.0
2510	72.0
1114	2.0
2407	48.0
2358	47.0
931	12.0
1711	3.0
930	n8606657
161	10.0
428	48.0
2504	6.0
822	34.0
1087	28.0
1837	22.0
54	39.0
1382	6.0
800	5.0
829	91.0
2232	2.0
210	26.0
2513	65.0
170	35.0
23	46.0
201	92.0
1096	94.0
1846	27.0
206	43.0
1812	20.0
1344	35.0
548	22.0
2442	2.0
1162	34.0
2142	7.0
87	11.0
3003	18.0
873	40.0
1331	19.0
3069	42.0
2217	80.0
2956	11.0
2304	13.0
545	19.0
598	1.0
2897	20.0
2700	16.0
2813	58.0
1919	39.0
596	3.0
1349	14.0
1033	39.0
2280	17.0
492	47.0
2888	9.0
988	13.0
689	13.0
2375	24.0
1430	42.0
1885	26.0
2473	98.0
2536	0.0
453	4.0
2004	24.0
2640	40.0
1835	15.0
632	9.0
229	27.0
1615	0.0
56	63.0
1392	7.0
386	14.0
918	51.0
2234	30.0
2497	40.0
1288	70.0
2224	15.0
916	31.0
395	35.0
466	5.0
1416	16.0
1165	16.0
1132	3.0
2625	1.0
1231	13.0
2219	2.0
285	50.0
928	23.0
1293	44.0
1743	15.0
1663	8.0
458	7.0
1823	14.0
877	31.0
2305	31.0
1354	1.0
1982	47.0
1923	39.0
1429	12.0
450	14.0
1118	35.0
1217	17.0
2360	41.0
824	16.0
1133	3.0
508	33.0
1028	32.0
213	58.0
1914	3.0
2170	54.0
558	93.0
1210	21.0
1472	25.0
2553	10.0
433	2.0
480	7.0
2533	59.0
1849	6.0
1961	38.0
1112	10.0
1422	42.0
2894	3.0
535	14.0
553	7.0
51	n7400221
1200	26.0
614	31.0
1415	14.0
973	5.0
117	18.0
1128	42.0
1208	36.0
1431	29.0
555	30.0
791	9.0
1246	2.0
1381	1.0
1642	16.0
1839	14.0
653	5.0
2	20.0
3024	83.0
1766	6.0
1404	26.0
336	83.0
2609	39.0
524	47.0
1555	52.0
30	100.0
2119	3.0
82	24.0
167	50.0
173	20.0
2123	32.0
242	45.0
1491	8.0
1732	33.0
1511	9.0
234	61.0
2456	24.0
2176	8.0
219	12.0
1252	28.0
2080	13.0
2167	5.0
780	99.0
2201	18.0
494	21.0
2569	7.0
834	51.0
1977	17.0
153	16.0
979	n8727291
529	11.0
2648	49.0
2607	15.0
2318	15.0
2359	17.0
318	9.0
528	14.0
320	1.0
1686	21.0
1888	2.0
2419	58.0
2619	100.0
1071	3.0
1665	39.0
2757	14.0
1664	17.0
367	29.0
313	39.0
2039	9.0
2459	n4787445
2877	12.0
1921	6.0
668	24.0
1173	22.0
779	22.0
1696	55.0
214	47.0
2884	62.0
1368	20.0
3018	29.0
789	5.0
674	4.0
677	34.0
1850	37.0
1070	19.0
2177	36.0
1295	73.0
1120	12.0
962	7.0
430	24.0
500	26.0
2257	71.0
994	25.0
1757	1.0
193	25.0
2042	8.0
2056	4.0
828	37.0
2901	21.0
2489	0.0
2194	2.0
1897	13.0
631	21.0
530	38.0
1275	11.0
1259	21.0
1733	30.0
198	13.0
1864	52.0
3034	10.0
2675	42.0
2725	33.0
1516	10.0
1661	30.0
406	5.0
2249	14.0
746	31.0
1369	1.0
720	28.0
2074	6.0
1692	50.0
540	12.0
725	39.0
1884	8.0
1407	16.0
2233	29.0
1819	14.0
1103	42.0
2188	16.0
1765	24.0
2809	1.0
2478	14.0
1504	29.0
2314	29.0
1221	9.0
1911	49.0
2806	86.0
2251	35.0
1653	12.0
2999	9.0
2818	13.0
1797	33.0
1294	15.0
2606	29.0
2846	1.0
2468	26.0
623	17.0
1159	10.0
1352	14.0
376	16.0
2462	39.0
1877	8.0
617	8.0
2778	68.0
1171	43.0
1660	88.0
3047	6.0
345	34.0
2264	14.0
845	11.0
243	24.0
2420	20.0
42	48.0
999	37.0
2428	9.0
1610	41.0
2213	10.0
1366	19.0
2659	13.0
1020	15.0
1072	7.0
2212	9.0
2284	60.0
331	10.0
1736	2.0
627	31.0
223	14.0
2585	13.0
2506	12.0
2911	21.0
2410	15.0
2109	3.0
1726	34.0
1105	19.0
2237	10.0
1987	3.0
1160	8.0
1926	31.0
2020	39.0
34	24.0
148	28.0
681	10.0
1289	15.0
788	33.0
990	25.0
2079	10.0
2831	16.0
2077	35.0
777	18.0
2620	22.0
2627	12.0
97	8.0
1803	31.0
1992	3.0
1895	37.0
2599	52.0
3	8.0
114	15.0
321	40.0
2721	37.0
1398	22.0
1890	25.0
764	n8118590
1761	41.0
309	44.0
2064	27.0
1371	37.0
337	20.0
2435	9.0
2899	17.0
279	9.0
2480	8.0
396	24.0
896	4.0
1086	30.0
2552	30.0
2275	35.0
1374	12.0
969	22.0
1127	26.0
2771	23.0
1391	4.0
659	35.0
1216	75.0
2946	n6441701
2446	38.0
503	32.0
2040	24.0
2838	14.0
258	100.0
2824	36.0
1258	30.0
817	40.0
2110	1.0
1454	1.0
1834	18.0
1904	20.0
2113	9.0
3077	49.0
1879	1.0
1479	27.0
1628	36.0
2404	15.0
2266	16.0
25	18.0
2133	15.0
1410	27.0
2270	9.0
169	33.0
2587	39.0
929	25.0
1756	32.0
2868	21.0
2057	50.0
612	28.0
947	13.0
765	14.0
2934	62.0
1117	17.0
744	5.0
443	18.0
1017	31.0
2782	70.0
299	44.0
1011	99.0
1612	6.0
1537	14.0
2241	1.0
865	38.0
1636	17.0
2852	5.0
4	6.0
593	13.0
663	5.0
2006	29.0
866	4.0
2309	11.0
2611	21.0
1925	42.0
2842	26.0
2509	33.0
1051	27.0
701	53.0
1983	3.0
1580	14.0
741	0.0
490	16.0
1613	42.0
462	25.0
1934	21.0
93	13.0
2030	55.0
1621	9.0
209	23.0
1137	12.0
2191	23.0
2910	37.0
1534	21.0
1625	18.0
649	4.0
1802	1.0
1939	18.0
383	9.0
2121	27.0
2745	90.0
2822	1.0
286	10.0
1647	19.0
1419	15.0
469	21.0
763	10.0
226	22.0
3078	26.0
1695	24.0
1463	11.0
2173	6.0
1345	30.0
24	30.0
306	21.0
2221	66.0
609	95.0
2970	49.0
2145	10.0
2183	2.0
1125	44.0
848	3.0
1062	23.0
1640	18.0
2423	8.0
1858	5.0
1614	27.0
325	54.0
1169	46.0
936	12.0
0	n283
1122	36.0
1373	19.0
2008	66.0
1805	26.0
67	12.0
727	6.0
1385	9.0
2457	14.0
2387	10.0
130	9.0
561	14.0
1913	21.0
113	4.0
951	19.0
904	9.0
2776	7.0
2135	17.0
2959	14.0
98	31.0
1518	33.0
942	23.0
917	62.0
2840	n6056345
1630	22.0
2417	11.0
1168	8.0
1124	29.0
2732	54.0
2933	9.0
2147	53.0
1927	34.0
2716	8.0
1262	18.0
635	55.0
449	76.0
638	8.0
818	5.0
2467	11.0
1380	23.0
2014	14.0
1704	8.0
2392	32.0
3075	26.0
191	1.0
882	18.0
1557	1.0
1304	6.0
71	n8004354
441	29.0
1552	43.0
2346	16.0
2861	3.0
275	30.0
1994	1.0
266	31.0
671	57.0
1672	5.0
718	4.0
926	27.0
174	14.0
1151	8.0
863	53.0
2279	33.0
661	34.0
1764	28.0
1699	n2207134
1145	1.0
2512	81.0
425	2.0
1632	n1922576
854	32.0
2653	1.0
43	20.0
527	24.0
654	30.0
1546	13.0
737	2.0
911	70.0
2380	11.0
2924	27.0
2834	67.0
1015	19.0
444	n7177315
1532	15.0
1633	2.0
2754	35.0
120	40.0
1940	28.0
1830	38.0
470	20.0
1659	3.0
2178	11.0
1213	13.0
1527	25.0
222	6.0
1197	5.0
3081	16.0
1034	14.0
1445	12.0
1291	84.0
2012	19.0
594	57.0
673	17.0
2092	23.0
1769	54.0
2354	14.0
3013	23.0
44	35.0
2590	33.0
2874	33.0
468	8.0
2503	14.0
3060	79.0
2876	87.0
2037	17.0
1004	14.0
515	56.0
1584	15.0
2347	18.0
2163	5.0
2448	43.0
2475	18.0
478	64.0
974	100.0
203	n3349443
2120	27.0
356	35.0
956	27.0
1426	1.0
2209	34.0
382	28.0
215	39.0
2602	2.0
2047	10.0
2168	n3735149
3010	14.0
2828	2.0
1539	9.0
1363	8.0
379	24.0
2099	8.0
272	46.0
244	23.0
1870	0.0
1968	25.0
471	50.0
1781	n2494073
189	12.0
827	20.0
2784	13.0
2169	73.0
1247	23.0
691	4.0
2792	26.0
2466	18.0
2088	27.0
483	8.0
1682	4.0
963	42.0
389	18.0
2253	40.0
1136	28.0
1536	47.0
1406	6.0
1997	40.0
1943	31.0
1678	17.0
984	14.0
713	61.0
273	23.0
695	12.0
889	72.0
2258	39.0
2433	27.0
1323	20.0
2214	13.0
2803	21.0
840	18.0
1269	35.0
1357	34.0
1397	21.0
424	11.0
672	13.0
2207	34.0
129	7.0
566	33.0
1126	21.0
2260	31.0
1448	13.0
563	39.0
1097	31.0
806	71.0
461	30.0
419	10.0
2773	4.0
1384	11.0
1272	12.0
2919	3.0
1174	2.0
1470	11.0
2461	42.0
2474	6.0
1399	1.0
611	40.0
1043	51.0
2864	12.0
1950	46.0
1938	11.0
794	23.0
698	5.0
2059	17.0
1709	36.0
2285	38.0
277	34.0
2751	35.0
304	35.0
2843	31.0
983	15.0
2324	1.0
812	59.0
2614	17.0
188	16.0
207	70.0
1081	3.0
1689	42.0
2455	16.0
2862	20.0
2095	27.0
2672	7.0
338	19.0
2769	4.0
1679	39.0
319	44.0
1441	14.0
2361	36.0
2613	23.0
1971	3.0
2418	20.0
1671	17.0
96	73.0
464	11.0
3031	3.0
2661	8.0
2880	3.0
1178	16.0
2916	22.0
2338	35.0
1589	29.0
2381	8.0
1400	42.0
1141	19.0
1945	26.0
658	19.0
759	6.0
2983	20.0
1952	12.0
2794	50.0
238	45.0
1241	27.0
302	48.0
1474	15.0
1670	10.0
521	35.0
2299	27.0
874	22.0
2010	12.0
1894	25.0
1828	25.0
1860	43.0
1485	0.0
2038	23.0
1389	12.0
1523	83.0
586	36.0
1330	36.0
22	19.0
2969	85.0
1301	16.0
1502	90.0
2035	3.0
1029	1.0
1325	25.0
3038	11.0
2860	43.0
1507	13.0
810	41.0
1464	21.0
1637	31.0
350	27.0
813	46.0
1083	8.0
17	19.0
3006	33.0
2756	15.0
2630	7.0
1240	4.0
1182	3.0
2546	1.0
1510	53.0
2394	24.0
2182	31.0
839	18.0
2854	37.0
1427	40.0
253	74.0
2282	14.0
940	50.0
371	40.0
1175	9.0
1514	72.0
151	19.0
879	21.0
510	100.0
900	16.0
978	32.0
1998	51.0
1296	5.0
939	16.0
2230	14.0
711	47.0
3026	34.0
1597	n1820400
2617	32.0
2245	21.0
1490	13.0
227	39.0
559	n7494290
2111	2.0
1874	12.0
953	28.0
1487	30.0
224	0.0
1581	30.0
502	10.0
2310	1.0
1013	10.0
899	13.0
941	10.0
1734	42.0
1886	31.0
606	20.0
261	30.0
1962	46.0
847	18.0
1305	14.0
986	27.0
58	14.0
2708	36.0
2676	2.0
1484	39.0
731	16.0
2879	16.0
2605	1.0
1025	19.0
322	6.0
202	32.0
1746	12.0
2159	91.0
1401	17.0
600	39.0
843	22.0
182	31.0
1286	36.0
2414	9.0
37	25.0
394	10.0
1002	41.0
47	18.0
166	30.0
1036	9.0
1782	23.0
179	2.0
2881	17.0
1458	19.0
1984	41.0
3030	33.0
1142	49.0
514	23.0
869	18.0
1575	61.0
135	4.0
2060	35.0
2321	57.0
3029	10.0
684	28.0
1513	12.0
1785	43.0
1517	31.0
2009	36.0
1571	33.0
1669	47.0
1021	0.0
2802	19.0
830	11.0
569	4.0
45	18.0
16	6.0
36	10.0
2021	19.0
1592	8.0
2287	8.0
1242	3.0
2524	11.0
1775	48.0
13	98.0
2472	15.0
1042	26.0
1486	69.0
2492	7.0
1548	52.0
2140	6.0
3061	23.0
686	84.0
2124	10.0
391	29.0
2532	75.0
1651	42.0
734	4.0
2062	100.0
2078	8.0
2574	37.0
2755	27.0
2034	36.0
192	29.0
439	11.0
2202	13.0
1721	15.0
507	36.0
76	22.0
2464	12.0
289	14.0
1754	4.0
724	37.0
2580	96.0
1367	26.0
567	14.0
2351	29.0
1810	38.0
221	57.0
39	58.0
870	32.0
1341	6.0
844	32.0
536	53.0
621	14.0
